Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
0,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,NASA,"Success
",F9 v1.1,Success,3 December 2013,22:41
0,F9 v1.1,AsiaSat 6,"4,428 kg",GTO,NASA,6,F9 v1.1,Success,6 January 2014,22:06
0,F9 v1.1,SpaceX CRS-4,"2,216 kg",LEO,USAF,Success,F9 v1.1,"Success
",18 April 2014,19:25
0,F9 v1.1,SpaceX CRS-5,"2,395 kg",LEO,ABS,7,F9 v1.1,"Success
",14 July 2014,15:15
0,F9 v1.1,DSCOVR,570 kg,HEO,NASA,Success,F9 v1.1,"Success
",5 August 2014,08:00
0,F9 v1.1,ABS-3A,"4,159 kg",GTO,,8,F9 v1.1,"Success
",7 September 2014,05:00
0,F9 v1.1,SpaceX CRS-6,"1,898 kg",LEO,NASA,Success,F9 v1.1,Failure,21 September 2014,05:52
0,F9 v1.1,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Orbcomm,9,F9 v1.1,"Success
",10 January 2015,09:47
0,F9 v1.1,SpaceX CRS-7,"1,952 kg",LEO,NASA,"Success
",F9 v1.1,"Success
",11 February 2015,23:03
0,F9 FT,Orbcomm-OG2,"2,034 kg",LEO,SES,10,F9 v1.1,"Success
",2 March 2015,03:50
0,F9 v1.1,Jason-3,553 kg,LEO,NASA,Success,F9 v1.1,Success,14 April 2015,20:10
0,F9 FT,SES-9,"5,271 kg",GTO,SKY Perfect JSAT Group,11,F9 v1.1,"Success
",27 April 2015,23:03
0,F9 FT,SpaceX CRS-8,"3,136 kg",LEO,Thaicom,Success,F9 v1.1,"Success
",28 June 2015,14:21
0,F9 FT,JCSAT-14,"4,696 kg",GTO,ABS,12,F9 FT,"Success
",22 December 2015,01:29
0,F9 FT,Thaicom 8,"3,100 kg",GTO,NASA,Success,F9 v1.1,"Success
",17 January 2016,18:42
0,F9 FT,ABS-2A,"3,600 kg",GTO,SKY Perfect JSAT Group,13,F9 FT,"Success
",4 March 2016,23:35
0,F9 FT,SpaceX CRS-9,"2,257 kg",LEO,Iridium Communications,Success,F9 FT,"Success
",8 April 2016,20:43
0,F9 FT,JCSAT-16,"4,600 kg",GTO,NASA,14,F9 FT,"Success
",6 May 2016,05:21
0,F9 FT,Iridium NEXT,"9,600 kg",Polar,EchoStar,Success,F9 FT,"Success
",27 May 2016,21:39
0,F9 FT,SpaceX CRS-10,"2,490 kg",LEO,SES,15,F9 FT,Success,15 June 2016,14:29
0,F9 FT,EchoStar 23,"5,600 kg",GTO,NRO,"Success
",F9 FT,"Success
",18 July 2016,04:45
0,F9 FT♺,SES-10,"5,300 kg",GTO,Inmarsat,16,F9 FT,"Success
",14 August 2016,05:26
0,F9 FT,NROL-76,C,LEO,NASA,"Success
",F9 FT,"Success
",14 January 2017,17:54
0,F9 FT,Inmarsat-5 F4,"6,070 kg",GTO,Bulsatcom,17,F9 FT,"Success
",19 February 2017,14:39
0,F9 FT,SpaceX CRS-11,"2,708 kg",LEO,Iridium Communications,"Success
",F9 FT,"Success
",16 March 2017,06:00
0,F9 FTB1029.2,BulgariaSat-1,"3,669 kg",GTO,Intelsat,18,F9 FT♺,"Success
",30 March 2017,22:27
0,F9 FT,Iridium NEXT,"9,600 kg",LEO,NASA,"Success
",F9 FT,"Success
",1 May 2017,11:15
0,F9 FT,Intelsat 35e,"6,761 kg",GTO,NSPO,19,F9 FT,"Success
",15 May 2017,23:21
0,F9 B4,SpaceX CRS-12,"3,310 kg",LEO,USAF,Failure,F9 FT,"Success
",3 June 2017,21:07
0,F9 FT,Formosat-5,475 kg,SSO,Iridium Communications,20,F9 FTB1029.2,"Success
",23 June 2017,19:10
0,F9 B4,Boeing X-37B,"4,990 kg",LEO,SES S.A.,"Success
",F9 FT,"Success
",25 June 2017,20:25
0,F9 B4,Iridium NEXT,"9,600 kg",Polar,KT Corporation,21,F9 FT,"Success
",5 July 2017,23:38
0,F9 FTB1031.2,SES-11,"5,200 kg",GTO,NASA,"Success
",F9 B4,"Success
",14 August 2017,16:31
0,F9 B4,Koreasat 5A,"3,500 kg",GTO,Iridium Communications,22,F9 FT,Success,24 August 2017,18:51
0,F9 FTB1035.2,SpaceX CRS-13,"2,205 kg",LEO,Northrop Grumman,"Success
",F9 B4,Success,7 September 2017,14:00
0,F9 FTB1036.2,Iridium NEXT,"9,600 kg",Polar,SES,23,F9 B4,Success,9 October 2017,12:37
0,F9 B4,Zuma,C,LEO,Hisdesat,Success,F9 FTB1031.2,Success,11 October 2017,22:53:00
0,F9 FTB1032.2,GovSat-1,"4,230 kg",GTO,Hispasat,24,F9 B4,Success,30 October 2017,19:34
0,F9 FTB1038.2,Paz,"2,150 kg",SSO,Iridium Communications,"Success
",F9 FTB1035.2,Success,15 December 2017,15:36
0,F9 B4,Hispasat 30W-6,"6,092 kg",GTO,NASA,25,F9 FTB1036.2,Success,23 December 2017,01:27
0,F9 B4B1041.2,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B4,Success,8 January 2018,01:00
0,F9 B4B1039.2,SpaceX CRS-14,"2,647 kg",LEO,Thales-Alenia,26,F9 FTB1032.2,Success,31 January 2018,21:25
0,F9 B4,Transiting Exoplanet Survey Satellite,362 kg,HEO,Iridium Communications,"Success
",F9 FTB1038.2,Success,22 February 2018,14:17
0,F9 B5B1046.1,Bangabandhu-1,"3,600 kg",GTO,SES,27,F9 B4,Success,6 March 2018,05:33
0,F9 B4B1043.2,Iridium NEXT,"6,460 kg",Polar,NASA,"Success
",F9 B4B1041.2,Success,30 March 2018,14:14
0,F9 B4B1040.2,SES-12,"5,384 kg",GTO,Telesat,28,F9 B4B1039.2,Success,2 April 2018,20:30
0,F9 B4B1045.2,SpaceX CRS-15,"2,697 kg",LEO,Iridium Communications,"Success
",F9 B4,Success,18 April 2018,22:51
0,F9 B5,Telstar 19V,"7,075 kg",GTO,Telkom Indonesia,29,F9 B5B1046.1,Success,11 May 2018,20:14
0,F9 B5B1048,Iridium NEXT,"9,600 kg",Polar,Telesat,"Success
",F9 B4B1043.2,Success,22 May 2018,19:47
0,F9 B5B1046.2,Merah Putih,"5,800 kg",GTO,CONAE,30,F9 B4B1040.2,Success,4 June 2018,04:45
0,F9 B5,Telstar 18V,"7,060 kg",GTO,Es'hailSat,"Success
",F9 B4B1045.2,Success,29 June 2018,09:42
0,F9 B5B1048.2,SAOCOM 1A,"3,000 kg",SSO,Spaceflight Industries,31,F9 B5,Success,22 July 2018,05:50
0,F9 B5B1047.2,Es'hail 2,"5,300 kg",GTO,NASA,"Success
",F9 B5B1048,"Success
",25 July 2018,11:39
0,F9 B5B1046.3,SSO-A,"~4,000 kg",SSO,USAF,32,F9 B5B1046.2,Success,7 August 2018,05:18
0,F9 B5,SpaceX CRS-16,"2,500 kg",LEO,Iridium Communications,Success,F9 B5,"Success
",10 September 2018,04:45
0,F9 B5,GPS III,"4,400 kg",MEO,PSN,33,F9 B5B1048.2,"Success
",8 October 2018,02:22
0,F9 B5B1049.2,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5B1047.2,"Success
",15 November 2018,20:46
0,F9 B5B1048.3,Nusantara Satu,"4,850 kg",GTO,NASA,34,F9 B5B1046.3,"Success
",3 December 2018,18:34:05
0,F9 B5[268],Crew Dragon Demo-1,"12,055 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",5 December 2018,18:16
0,F9 B5,SpaceX CRS-17,"2,495 kg",LEO,Canadian Space Agency,35,F9 B5,"Success
",23 December 2018,13:51
0,F9 B5B1049.3,Starlink,"13,620 kg",LEO,NASA,"Success
",F9 B5B1049.2,"Success
",11 January 2019,15:31
0,F9 B5B1051.2,RADARSAT Constellation,"4,200 kg",SSO,Spacecom,36,F9 B5B1048.3,"Success
",22 February 2019,01:45
0,F9 B5B1056.2,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5[268],"Success
",2 March 2019,07:49
0,F9 B5B1047.3,AMOS-17,"6,500 kg",GTO,NASA,37,F9 B5,"Success
",4 May 2019,06:48
0,F9 B5,Starlink,"15,600 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5B1049.3,"Success
",24 May 2019,02:30
0,F9 B5,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,38,F9 B5B1051.2,"Success
",12 June 2019,14:17
0,F9 B5B1056.3,JCSat-18,"6,956 kg",GTO,NASA,"Success
",F9 B5B1056.2,"Success
",25 July 2019,22:01
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,39,F9 B5B1047.3,"Success
",6 August 2019,23:23
0,F9 B5,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,"Success
",11 November 2019,14:56
0,F9 B5,Starlink,"15,600 kg",LEO,NASA,40,F9 B5,"Success
",5 December 2019,17:29
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,"Success
",17 December 2019,00:10
0,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,41,F9 B5,"Success
",7 January 2020,02:19:21
0,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",19 January 2020,15:30
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,42,F9 B5,"Success
",29 January 2020,14:07
0,F9 B5,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",17 February 2020,15:05
0,F9 B5,Starlink,"15,600 kg",LEO,U.S. Space Force,43,F9 B5,"Success
",7 March 2020,04:50
0,F9 B5,Starlink,"15,410 kg",LEO,Republic of Korea Army,"Success
",F9 B5,"Success
",18 March 2020,12:16
0,F9 B5,GPS III,"4,311 kg",MEO,SpaceX,44,F9 B5,"Success
",22 April 2020,19:30
0,F9 B5B1058.2,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5,"Success
",30 May 2020,19:22
0,F9 B5,Starlink,"14,932 kg",LEO,CONAE,45,F9 B5,"Success
",4 June 2020,01:25
0,F9 B5B1049.6,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",13 June 2020,09:21
0,F9 B5,SAOCOM 1B,"3,130 kg",SSO,SpaceX,46,F9 B5,"Success
",30 June 2020,20:10:46
0,F9 B5B1060.2,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5B1058.2,"Success
",20 July 2020,21:30
0,F9 B5B1058.3,Starlink,"15,600 kg",LEO,SpaceX,47,F9 B5,"Success
",7 August 2020,05:12
0,F9 B5B1051.6,Starlink,"15,600 kg",LEO,USSF,Success,F9 B5B1049.6,"Success
",18 August 2020,14:31
0,F9 B5,Starlink,"15,600 kg",LEO,NASA,48,F9 B5,"Success
",30 August 2020,23:18
0,F9 B5,GPS III,"4,311 kg",MEO,NASA,Success,F9 B5B1060.2,"Success
",3 September 2020,12:46:14
0,F9 B5,Crew-1,"~12,500 kg",LEO,SpaceX,49,F9 B5B1058.3,"Success
",6 October 2020,11:29:34
0,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,F9 B5B1051.6,"Success
",18 October 2020,12:25:57
0,F9 B5 ♺,Starlink,"15,600 kg",LEO,Sirius XM,50,F9 B5,"Success
",24 October 2020,15:31:34
0,F9 B5 ♺,SpaceX CRS-21,"2,972 kg",LEO,NRO,Success,F9 B5,"Success
",5 November 2020,23:24:23
0,F9 B5 ♺,SXM-7,"7,000 kg",GTO,Türksat,51,F9 B5,"Success
",16 November 2020,00:27
0,F9 B5 ♺,NROL-108,C,LEO,SpaceX,Success,F9 B5,"Success
",21 November 2020,17:17:08
0,F9 B5,Türksat 5A,"3,500 kg",GTO,0,52,F9 B5 ♺,0,25 November 2020,02:13
0,F9 B5B1051.8,Starlink,"15,600 kg",LEO,0,Success,F9 B5 ♺,0,6 December 2020,16:17:08
0,F9 B5B1058.5,Transporter-1,"~5,000 kg",SSO,0,53,F9 B5 ♺,0,13 December 2020,17:30:00
0,0,0,0,0,0,Success,F9 B5 ♺,0,19 December 2020,14:00:00
0,0,0,0,0,0,54,F9 B5,0,8 January 2021,02:15
0,0,0,0,0,0,Success,F9 B5B1051.8,0,20 January 2021,13:02
0,0,0,0,0,0,55,F9 B5B1058.5,0,24 January 2021,15:00
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,57,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,58,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,59,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,61,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,62,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,64,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,65,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,66,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,67,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,68,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,70,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,71,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,72,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,73,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,74,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,76,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,77,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,78,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,79,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,80,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,81,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,82,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,83,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,84,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,85,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,86,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,87,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,88,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,89,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,90,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,91,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,92,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,93,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,94,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,96,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,97,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,98,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,99,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,101,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,102,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,103,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,104,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,105,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,106,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,11,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,13,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,16,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,17,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,18,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,19,0,0,0,0
0,0,0,0,0,0,Failure,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,21,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,22,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,23,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,25,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,26,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,27,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,28,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,29,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,30,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,31,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,32,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,33,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,34,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,35,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,36,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,37,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,38,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,39,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,41,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,42,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,43,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,44,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,45,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,46,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,47,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,48,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,49,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,50,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,51,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,52,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,53,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,55,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,57,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,58,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,59,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,61,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,62,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,63,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,64,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,65,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,66,0,0,0,0
0,0,0,0,0,0,Success,0,0,0,0
0,0,0,0,0,0,67,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,68,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,70,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,71,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,72,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,73,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,74,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,76,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,77,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,78,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,79,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,80,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,81,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,82,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,83,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,84,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,85,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,86,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,87,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,88,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,89,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,90,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,91,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,92,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,93,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,94,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,96,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,97,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,98,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,99,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,101,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,102,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,103,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,104,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,105,0,0,0,0
0,0,0,0,0,0,"Success
",0,0,0,0
0,0,0,0,0,0,106,0,0,0,0
0,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,1,F9 v1.0B0003.1,"Success
",4 June 2010,18:45
0,CCAFS,Dragon,0,LEO,NASA,"Success
",F9 v1.0B0004.1,Success,8 December 2010,15:43
0,CCAFS,Dragon,525 kg,LEO,NASA,2,F9 v1.0B0005.1,Success,22 May 2012,07:44
0,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.0B0006.1,"Success
",8 October 2012,00:35
0,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,3,F9 v1.0B0007.1,"Success
",1 March 2013,15:10
0,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,Success,29 September 2013,16:00
0,CCAFS,SES-8,"3,170 kg",GTO,SES,4,F9 v1.1,Success,3 December 2013,22:41
0,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,"Success
",F9 v1.1,Success,6 January 2014,22:06
